Subdiv,Block,Unit,Shape_Leng,Shape_Area
Civic Industrial Area,E,,887.969989135,26221.0870642
Civic Industrial Area,EE,,1663.56303478,47343.5042174
Civic Industrial Area,F,,468.349087322,9146.50200238
Civic Industrial Area,FF,,1020.25519181,49118.9626342
Civic Industrial Area,GG,,817.332151796,34561.3216658
Civic Industrial Area,H,,1634.6859766,75428.5241457
Civic Industrial Area,I,,664.427890602,14162.8646085
Civic Industrial Area,J,,1372.02559428,41554.3274033
Civic Industrial Area,JJ,,735.247115416,30292.0870953
Civic Industrial Area,K,,1298.02987275,47478.209645
Civic Industrial Area,KK,,2245.37929458,114970.435685
Civic Industrial Area,L,,569.981310647,15447.4444621
Civic Industrial Area,LL,,786.270337983,33176.8305818
Civic Industrial Area,M,,1248.47385367,38783.6903823
Civic Industrial Area,MM,,978.360236047,38408.9150401
Civic Industrial Area,N,,729.997099513,32362.5381531
Civic Industrial Area,NN,,932.929669874,42692.5777242
Civic Industrial Area,O,,874.234455592,23108.1463749
Civic Industrial Area,OO,,736.905322432,32486.2392729
Civic Industrial Area,P,,183.952637561,2012.25914774
Civic Industrial Area,P,,1556.0912972,64140.6769403
Civic Industrial Area,PP,,673.949984011,21395.8352173
Civic Industrial Area,Q,,708.396995942,29890.0209052
Civic Industrial Area,R,,686.719137788,28019.9760004
Civic Industrial Area,RR,,1689.5690967,177667.409199
Civic Industrial Area,SS,,2196.75821045,81690.6767081
Civic Industrial Area,SS-1,,1061.84208585,38175.1654904
Civic Industrial Area,SS-1,,255.379326288,3776.93691932
Civic Industrial Area,T,,707.380570769,29470.8402369
Civic Industrial Area,TT,,2365.66702406,133272.917786
Civic Industrial Area,UU,,1042.21083251,31905.074364
Civic Industrial Area,VV,,1515.12464936,53238.7093719
Civic Industrial Area,X,,793.609644021,40722.7209683
Civic Industrial Area,XX,,1515.64352841,47750.4645203
Civic Industrial Area,Y,,783.580098402,33268.7744676
Civic Industrial Area,YY,,473.46920506,11680.5541388
Civic Industrial Area,Z,,574.408136064,21445.8892462
Colony Bay,1,,989.003039345,28148.7107608
Colony Bay,2,,1709.51352385,52739.0669847
Colony Bay,3,,2253.22986032,109148.655723
Colony Bay,4,,1321.35062527,67598.1469242
Colony Bay,5,,5513.60373104,179126.60825
Coral Bay,1,,4979.56177382,169855.390216
Coral Gardens,1,,602.068940617,5805.23417726
Coral Gardens,2,,1854.10354621,20495.2165934
Coral Gardens,3,,1456.99386329,15926.9816994
Derby,1,1,1730.38202565,35937.8469495
Derby,1,2,1930.11488112,41537.4113327
Derby,1,3,1741.99492342,33737.4135225
Derby,10,3,1055.38549889,18683.3565729
Derby,11,3,1480.77325812,26774.8882385
Derby,12,3,679.236649958,11359.4724114
Derby,13,3,614.552728021,12490.2484141
Derby,14,3,814.531576309,25536.592198
Derby,15,3,1157.94677271,39849.0959092
Derby,16,3,892.671648361,28414.1587929
Derby,17,3,2891.23310125,63570.3802307
Derby,2,1,1723.62022117,34243.3061358
