OBJECTID,AREA,BUILDIN_ID,Shape_Leng,Shape_Area
12242,0,0,17.4715216294,19.0511714991
12243,0,0,16.3752375255,16.7480085019
12244,0,0,35.2180454391,58.4830365005
12245,0,0,39.19951506,73.4199034968
12246,0,0,14.3072055995,12.3998489985
12247,0,0,17.9113498183,20.0463784979
12248,0,0,18.4587302916,21.2907709994
12249,0,0,17.4781574668,19.0859979987
12250,0,0,17.919046981,20.0681054999
12251,0,0,19.2932265262,21.4101280002
12252,0,0,15.5350624113,15.0574240009
12253,0,0,24.0103080393,36.0229774996
12254,0,0,46.0782370217,102.939512501
12255,0,0,76.983556281,256.967034999
12256,0,0,40.329523558,97.902877498
12257,0,0,85.5232573813,382.272996501
12258,0,0,25.0128625386,38.5204725
12259,0,0,34.9644782601,73.9537110002
12260,0,0,44.1883191337,117.344284999
12261,0,0,72.8241192166,206.453438997
12262,0,0,32.0797196694,59.0219900007
12263,0,0,31.3691409562,60.4344644971
12264,0,0,49.8835022062,148.8918
12265,0,0,93.3524352907,420.432839004
12266,0,0,40.0690734389,90.4290349993
12267,0,0,54.7373217539,166.261423001
12268,0,0,65.5890643642,203.580284002
12269,0,0,61.2716723806,151.393026999
12270,0,0,33.7095729616,70.5929600006
12271,0,0,52.5736455776,152.830847498
12272,0,0,44.8540589602,115.819804005
12273,0,0,22.7628787252,29.2270910012
12274,0,0,48.7937682102,116.095136002
12275,0,0,57.9836347139,191.192131498
12276,0,0,73.1824219918,273.284474502
12277,0,0,58.4789134654,154.926707003
12278,0,0,32.9318555812,64.7285099984
12279,0,0,25.260963025,39.6556620014
12280,0,0,24.6889983742,37.5996950006
12281,0,0,27.0412879636,43.9485559999
12282,0,0,49.9130948601,122.757848499
12283,0,0,89.0098638054,351.069810993
12284,0,0,49.9600117317,151.463800998
12285,0,0,104.24476765,428.125682993
12286,0,0,59.0055158197,188.703282001
12287,0,0,64.2794515607,224.667701999
12288,0,0,45.5484029367,104.0512345
12289,0,0,29.1693850277,45.4377889972
12290,0,0,38.6134609094,78.0780259979
12291,0,0,27.5602804308,42.962408503
12292,0,0,26.6637831645,44.3977869993
12293,0,0,30.6070866566,45.9279065023
12294,0,0,30.3891724434,47.2758870024
12295,0,0,81.2883641217,302.155415503
12296,0,0,32.2168776313,54.2847960027
12297,0,0,46.0092540846,112.435879
12298,0,0,34.897245926,76.0743675019
12299,0,0,58.2107096946,153.844601
12300,0,0,76.1602344285,258.7646295
12301,0,0,68.0618791314,216.153349996
12302,0,0,49.1375809305,96.9951554984
12303,0,0,51.422494726,151.5868905
12304,0,0,52.0500932103,159.991684995
12305,0,0,40.205697777,92.830481001
12306,0,0,34.2515850238,67.8493369997
12307,0,0,43.7831473634,101.646422
12308,0,0,39.3864058403,85.4648220028
12309,0,0,38.3223441829,86.6145484989
12310,0,0,50.4798586457,145.214629999
12311,0,0,49.9092883522,137.101688498
12312,0,0,49.5019783727,137.095452503
12313,0,0,74.1823358629,238.408091496
12314,0,0,34.0414447995,72.4218415011
