OBJECTID,LENGTH,PREFIX,ST_NAME,SUFFIX,ONEWAY,ST_TYPE,ROW,len,Shape_Leng
885,272.91134579000,,Corby,Lane,0,Minor,50,0.00000000000,272.91079519300
886,650.30367069000,,Corby,Drive,0,Minor,50,0.00000000000,650.29632561500
887,254.28547576000,,Blanchland,Avenue,0,Minor,50,0.00000000000,254.28404709600
888,168.01234316000,,Blanchland,Court,0,Minor,50,0.00000000000,168.00919769500
889,563.49259969000,,Chesterfield House,Drive,0,Major,80,0.00000000000,563.49138193300
890,273.08436911000,,Chesterfield House,Drive,0,Major,80,0.00000000000,273.08184776300
891,165.06598118000,,Chesterfield House,Drive,0,Major,80,0.00000000000,165.06561618400
892,472.82544604000,,Chesterfield House,Drive,0,Major,80,0.00000000000,472.82531015800
893,879.86038814000,,Intercounty,Parkway,0,Major,150,0.00000000000,879.85757913900
894,196.29070162000,,Intercounty,Parkway,0,Major,150,0.00000000000,196.28982997800
895,258.48230512000,,Wolerton,Lane,0,Minor,50,0.00000000000,258.48140106700
896,178.72441205000,,Beckfoot,Lane,0,Minor,50,0.00000000000,178.72255709700
897,24.10627480000,,Widcombe,Close,0,Minor,50,0.00000000000,24.10630344260
898,158.15331382000,,Widcombe,Close,0,Minor,50,0.00000000000,158.15337533500
899,824.30782023000,,Wolterton,Avenue,0,Minor,50,0.00000000000,824.30726366600
900,101.45529704000,,Burnstones,Close,0,Minor,50,0.00000000000,101.45105833500
901,253.97708171000,,Burnstones,Close,0,Minor,50,0.00000000000,253.96977877400
902,20.60368127000,,Blackford,Lane,0,Minor,50,0.00000000000,20.60197557780
903,338.39386548000,,Blackford,Lane,0,Minor,50,0.00000000000,338.38995976700
904,131.02424768000,,Blackford,Road,0,Minor,50,0.00000000000,131.02355889600
905,317.97671931000,,Blackford,Road,0,Minor,50,0.00000000000,317.97475500100
906,186.52702364000,,Blackford,Road,0,Minor,50,0.00000000000,186.52719870200
907,219.71503832000,,Burnstones,Avenue,0,Minor,50,0.00000000000,219.71357322100
908,185.67346594000,,Burnstones,Road,0,Minor,50,0.00000000000,185.67269845100
909,466.00243569000,,Chesterfield House,Drive,0,Major,80,0.00000000000,465.99993402500
910,221.07010957000,,Chesterfield House,Drive,0,Major,80,0.00000000000,221.07009128100
911,15.81618106000,,Blackheath,Avenue,0,Minor,50,0.00000000000,15.81588446230
912,260.38988652000,,Blackheath,Drive,0,Minor,50,0.00000000000,260.38881739000
913,184.76442634000,,Blackheath,Drive,0,Minor,50,0.00000000000,184.76252668200
914,158.42186604000,,Chesterfield House,Drive,0,Major,80,0.00000000000,158.42135550700
968,184.36832162000,,Montgomery,Drive,0,Minor,50,0.00000000000,184.36815933400
969,427.81402332000,,Montgomery,Drive,0,Minor,50,0.00000000000,427.81207397200
971,164.40179140000,,Moreton,Road,0,Minor,50,0.00000000000,164.40186895600
972,135.00507020000,,Wakehurst,Mews,0,Minor,50,0.00000000000,135.00327624900
973,212.11834619000,,Brayton,Road,0,Minor,50,0.00000000000,212.11804292400
974,136.10331487000,,Allenheads,Drive,0,Minor,100,0.00000000000,136.10187559800
975,73.32322612000,,Allenheads,Drive,0,Minor,100,0.00000000000,73.32307911950
976,191.33406045000,,Weston,Lane,0,Minor,50,0.00000000000,191.33406337200
977,147.84025199000,,Weston,Court,0,Minor,50,0.00000000000,147.83811830400
978,41.71287087000,,Weston,Place,0,Minor,50,0.00000000000,41.71280272310
979,184.46423333000,,Weston,Place,0,Minor,50,0.00000000000,184.46417439500
980,145.05691366000,,Traquair,Close,0,Minor,100,0.00000000000,145.05549825500
981,456.93631768000,,Scarisbrick,Lane,0,Minor,50,0.00000000000,456.93619023400
